OrderID,CustomerID,DeliveryAddress,Latitude,Longitude,OrderTimestamp,OrderStatus,DriverID,RestaurantID,LocationID,DistanceKM,DeliveryHours,Timetakentodeliver,DeliveryTime
1,173,"PSC 5954, Box 0204
APO AP 09149",40.757365,-73.999073,22/08/2023 07:34,Delivered,4,8,100,4.983360806,0.166112027,44:10.0,22/08/2023 07:44
2,212,"796 Jimmy Square
Robertside, RI 60464",40.762723,-73.989732,07/09/2023 02:11,Pending,7,14,59,5.711649602,0.19038832,,
3,194,"365 King Centers
Dennisberg, RI 13807",40.777452,-73.991829,08/09/2023 03:21,Pending,25,18,38,7.278616255,0.242620542,,
4,26,"461 Andrew Knolls Suite 904
Port Brandi, OR 82144",40.704663,-73.981682,24/08/2023 10:59,Delivered,17,6,80,2.244868455,0.074828949,03:41.4,24/08/2023 11:03
5,432,"467 Blevins Mountains Suite 444
Larsonhaven, WI 47950",40.785367,-73.990559,29/08/2023 12:37,Pending,30,2,40,8.163327232,0.272110908,,
6,289,"488 Zimmerman Brooks Suite 224
West Angela, AR 60457",40.756272,-73.992024,13/09/2023 11:24,Pending,33,11,24,4.969772931,0.165659098,,
7,164,"471 Savannah Court Suite 788
Port Jennifer, NE 47556",40.716308,-73.996607,19/08/2023 08:15,Delivered,29,3,1,0.884129716,0.029470991,17:15.1,19/08/2023 08:17
8,129,"962 Charles Rapids
Alvinfort, ND 21094",40.730226,-73.983119,28/08/2023 16:45,Pending,1,18,80,2.735307666,0.091176922,,
9,389,"247 Gregory Dale Apt. 911
Benjaminside, SC 04163",40.766352,-73.987939,19/08/2023 12:39,Pending,1,20,42,6.139441208,0.20464804,,
10,58,"871 Brennan Villages Suite 936
Ericburgh, NY 13018",40.764831,-73.995085,13/09/2023 01:48,Pending,47,19,92,5.851075592,0.195035853,,
11,385,"1858 Newton Extension Apt. 583
North Deborahchester, AK 02349",40.729346,-73.988035,06/09/2023 17:31,Delivered,43,12,69,2.38325765,0.079441922,36:11.0,06/09/2023 17:36
